Id,Date,All Day,Title,Symbol,Impact,Forecast,Previous
2022.12.12GBPRightmove HPI m m,12/12/22 0:01,FALSE,Rightmove HPI m/m,GBP,1," ",-1.1%
2022.12.12JPYPrelim Machine Tool Orders y y,12/12/22 5:58,FALSE,Prelim Machine Tool Orders y/y,JPY,1," ",-5.5%
2022.12.12GBPConstruction Output m m,12/12/22 7:00,FALSE,Construction Output m/m,GBP,1,0.1%,0.4%
2022.12.12GBPGDP m m,12/12/22 7:00,FALSE,GDP m/m,GBP,3,0.4%,-0.6%
2022.12.12GBPGoods Trade Balance,12/12/22 7:00,FALSE,Goods Trade Balance,GBP,1,-15.4B,-15.7B
2022.12.12GBPIndex of Services 3m 3m,12/12/22 7:00,FALSE,Index of Services 3m/3m,GBP,1,-0.1%,0.0%
2022.12.12GBPIndustrial Production m m,12/12/22 7:00,FALSE,Industrial Production m/m,GBP,1,-0.1%,0.2%
2022.12.12GBPManufacturing Production m m,12/12/22 7:00,FALSE,Manufacturing Production m/m,GBP,1,-0.1%,0.0%
2022.12.12CNYM2 Money Supply y y,12/12/22 8:10,FALSE,M2 Money Supply y/y,CNY,1,11.7%,11.8%
2022.12.12CNYNew Loans,12/12/22 8:10,FALSE,New Loans,CNY,1,1410B,615B
2022.12.12GBPNIESR GDP Estimate,12/12/22 12:13,FALSE,NIESR GDP Estimate,GBP,1," ",-0.3%
2022.12.12USD10-y Bond Auction,12/12/22 18:01,FALSE,10-y Bond Auction,USD,1," ",4.14|2.2
2022.12.12USDFederal Budget Balance,12/12/22 19:00,FALSE,Federal Budget Balance,USD,1,-248.5B,-87.8B
2022.12.12CADBOC Gov Macklem Speaks,12/12/22 20:25,FALSE,BOC Gov Macklem Speaks,CAD,3," "," "
2022.12.12NZDFPI m m,12/12/22 21:45,FALSE,FPI m/m,NZD,1," ",0.8%
2022.12.12AUDWestpac Consumer Sentiment,12/12/22 23:30,FALSE,Westpac Consumer Sentiment,AUD,1," ",-6.9%

